step,loss,class_acc,lr,min_lr,weight_decay,grad_norm,test_acc1,test_acc5,test_loss,test_f1,test_auc,test_recall
68,3.2782790660858154,0.0703125,0.00011396648187655956,0.00011396648187655956,0.0006000000284984708,,,,,,,
69,3.248504161834717,0.1015625,0.00011396648187655956,0.00011396648187655956,0.0006000000284984708,0.6320842504501343,,,,,,
70,3.2527713775634766,0.09375,0.0001173184355138801,0.0001173184355138801,0.0006000000284984708,,,,,,,
71,3.259723424911499,0.1171875,0.0001173184355138801,0.0001173184355138801,0.0006000000284984708,0.7464582920074463,,,,,,
72,3.2544407844543457,0.109375,0.00012067038915120065,0.00012067038915120065,0.0006000000284984708,,,,,,,
73,3.2487573623657227,0.1328125,0.00012067038915120065,0.00012067038915120065,0.0006000000284984708,0.7961207628250122,,,,,,
74,3.2584152221679688,0.0546875,0.00012402235006447881,0.00012402235006447881,0.0006000000284984708,,,,,,,
75,3.257244110107422,0.09375,0.00012402235006447881,0.00012402235006447881,0.0006000000284984708,0.6783158183097839,,,,,,
76,3.2442355155944824,0.125,0.00012737429642584175,0.00012737429642584175,0.0006000000284984708,,,,,,,
77,3.2566075325012207,0.09375,0.00012737429642584175,0.00012737429642584175,0.0006000000284984708,0.6751890778541565,,,,,,
78,3.2465386390686035,0.1015625,0.0001307262573391199,0.0001307262573391199,0.0006000000284984708,,,,,,,
79,3.241302251815796,0.1171875,0.0001307262573391199,0.0001307262573391199,0.0006000000284984708,0.7981698513031006,,,,,,
80,3.2361679077148438,0.1171875,0.00013407821825239807,0.00013407821825239807,0.0006000000284984708,,,,,,,
81,3.2602691650390625,0.0703125,0.00013407821825239807,0.00013407821825239807,0.0006000000284984708,0.7204557061195374,,,,,,
82,3.2130844593048096,0.1171875,0.000137430164613761,0.000137430164613761,0.0006000000284984708,,,,,,,
83,3.2299232482910156,0.1015625,0.000137430164613761,0.000137430164613761,0.0006000000284984708,0.8254712224006653,,,,,,
84,3.218438148498535,0.109375,0.00014078212552703917,0.00014078212552703917,0.0006000000284984708,,,,,,,
85,3.2301294803619385,0.1328125,0.00014078212552703917,0.00014078212552703917,0.0006000000284984708,0.8644117116928101,,,,,,
86,3.2423806190490723,0.1171875,0.0001441340718884021,0.0001441340718884021,0.0006000000284984708,,,,,,,
87,3.1837761402130127,0.140625,0.0001441340718884021,0.0001441340718884021,0.0006000000284984708,0.7890310287475586,,,,,,
88,3.2052526473999023,0.1796875,0.00014748603280168027,0.00014748603280168027,0.0006000000284984708,,,,,,,
89,3.223085403442383,0.1015625,0.00014748603280168027,0.00014748603280168027,0.0006000000284984708,0.7661811113357544,,,,,,
90,3.1900510787963867,0.171875,0.00015083799371495843,0.00015083799371495843,0.0006000000284984708,,,,,,,
91,3.194045066833496,0.1171875,0.00015083799371495843,0.00015083799371495843,0.0006000000284984708,0.9353958964347839,,,,,,
92,3.20566987991333,0.109375,0.00015418994007632136,0.00015418994007632136,0.0006000000284984708,,,,,,,
93,3.209402561187744,0.1171875,0.00015418994007632136,0.00015418994007632136,0.0006000000284984708,0.7612106800079346,,,,,,
94,3.1873373985290527,0.15625,0.00015754190098959953,0.00015754190098959953,0.0006000000284984708,,,,,,,
95,3.2314906120300293,0.109375,0.00015754190098959953,0.00015754190098959953,0.0006000000284984708,0.8723907470703125,,,,,,
96,3.21891713142395,0.1328125,0.0001608938619028777,0.0001608938619028777,0.0006000000284984708,,,,,,,
97,3.1991143226623535,0.1015625,0.0001608938619028777,0.0001608938619028777,0.0006000000284984708,0.7332029342651367,,,,,,
98,3.1847147941589355,0.1171875,0.00016424580826424062,0.00016424580826424062,0.0006000000284984708,,,,,,,
99,3.1887950897216797,0.171875,0.00016424580826424062,0.00016424580826424062,0.0006000000284984708,0.8091948628425598,,,,,,
100,3.1590588092803955,0.15625,0.00016759776917751878,0.00016759776917751878,0.0006000000284984708,,,,,,,
101,3.174752950668335,0.140625,0.00016759776917751878,0.00016759776917751878,0.0006000000284984708,1.273421049118042,,,,,,
